cand_name,complete_text
Youssef HARIRI,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Youssef HARIRI Profil des personnes candidates Icons/ArrowRetour à la liste Youssef HARIRI Ensemble Montréal - Équipe Soraya Conseillère ou conseiller de ville Marie-Clarac Présentation de la personne candidate Avocat et entrepreneur établi à Montréal-Nord, Youssef Hariri met son expertise en droit et en leadership au service de l’inclusion et du développement durable. Lauréat du prix 40 Under 40, il œuvre à bâtir une société plus juste, humaine et tournée vers l’avenir. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Sécuriser les rues et augmenter les budgets de réparation des nids-de-poule. Poursuivre le réaménagement et l’amélioration des parcs. Quel est le lieu préféré de la personne candidate à Montréal? Montréal-Nord Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Malo HARNEZ,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Malo HARNEZ Profil des personnes candidates Icons/ArrowRetour à la liste Malo HARNEZ Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Louis-Riel facebook courriel Présentation de la personne candidate Formé en arts et en création numérique, Malo Harnez s'intéresse à la manière dont l'innovation, la culture et la créativité peuvent enrichir la ville collective. Convaincu que les défis municipaux demandent écoute, adaptation et collaboration, il souhaite s'engager à bâtir, avec les citoyens, des solutions durables et humaines. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Je souhaite améliorer la qualité de vie en écoutant les citoyens-nes, en travaillant avec des spécialistes et en mettant en place des solutions concrètes qui favorisent des quartiers plus verts, inclusif et solidaires Quelles sont les deux principales priorités de la personne candidate? Améliorer les conditions de vie des personnes en situation d'itinérance Renforcer la salubrité et l'entretien des espaces publics de l'arrondissement. Quel est le lieu préféré de la personne candidate à Montréal? Le Pigeon Café Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Alia HASSAN-COURNOL,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Alia HASSAN-COURNOL Profil des personnes candidates Icons/ArrowRetour à la liste Alia HASSAN-COURNOL Projet Montréal - Équipe Luc Rabouin Mairesse ou maire de l'arrondissement Mercier-Hochelaga-Maisonneuve linkedIn facebook instagram site courriel Présentation de la personne candidate Alia Hassan-Cournol, conseillère à la Ville et membre du comité exécutif, se présente à la mairie de MHM. Forte d’un parcours en milieu communautaire et institutionnel, elle est reconnue pour sa rigueur et son écoute. Elle veut mettre son expérience au service d’un arrondissement plus vert, équitable et solidaire. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je me présente pour les gens de MHM. J’aime profondément mon arrondissement et ses habitant·es. Je veux améliorer leur quotidien avec écoute, action et cœur. Montréal a besoin d’élu·es proches, humains et engagés. Je serai de celles-là. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En offrant plus de logements, en apaisant la cohabitation et en verdissant nos quartiers. Comme femme de terrain, je veux prendre soin des gens avec des solutions concrètes, ancrées dans le réel, pour une ville plus humaine et plus juste. Quelles sont les deux principales priorités de la personne candidate? Habitation, itinérance, qualité de vie: propreté, sécurisation, verdissement, culture et commerces Quel est le lieu préféré de la personne candidate à Montréal? Le marché Maisonneuve Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Andrée HÉNAULT,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Andrée HÉNAULT Profil des personnes candidates Icons/ArrowRetour à la liste Andrée HÉNAULT Équipe Anjou Conseillère ou conseiller de ville Anjou Présentation de la personne candidate CITOYENNE D'ANJOU DEPUIS 65 ANS, MÈRE D'UN FILS, GRAND-MÈRE DE DEUX JEUNES ADULTES, RETRAITÉE DE BELL, CONSEILLÈRE MUNICIPALE DEPUIS 36 ANS, UNE PERSONNE ENGAGÉE DANS MA COMMUNAUTÉ DEPUIS TOUJOURS Pourquoi la personne candidate souhaite représenter les Montréalais(es)? POUR LA PROTECTION DES INTÉRÊTS DE TOUS LES ANGEVINS ET ANGEVINES Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? MAINTENIR DES SERVICES DE QUALITÉ MALGRÉ TOUTES LES CONTRAINTES PRÉSENTES Quelles sont les deux principales priorités de la personne candidate? TOUJOURS ÊTRE À L'ÉCOUTE DES CITOYENS MAINTENIR UNE BELLE QUALITÉ DE VIE DANS NOTRE ARRONDISSEMENT Quel est le lieu préféré de la personne candidate à Montréal? ANJOU Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Julien HÉNAULT-RATELLE,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Julien HÉNAULT-RATELLE Profil des personnes candidates Icons/ArrowRetour à la liste Julien HÉNAULT-RATELLE Ensemble Montréal - Équipe Soraya Conseillère ou conseiller de ville Tétreaultville facebook Présentation de la personne candidate Conseiller sortant de Tétreaultville depuis 2021, Julien Hénault-Ratelle veut poursuivre son travail pour un quartier vert, accessible et prospère. Fort d’une expertise en urbanisme et développement économique, il défend la sécurité, la propreté et un développement respectueux de l’identité locale. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Ramener la collecte des ordures à chaque semaine durant l’été et augmenter les points de dépôt local. Construire un centre sportif et communautaire dans Tétreaultville. Quel est le lieu préféré de la personne candidate à Montréal? Mercier-Hochelaga-Maisonneuve Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Edline HENRI,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Edline HENRI Profil des personnes candidates Icons/ArrowRetour à la liste Edline HENRI Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement Saint-Léonard-Ouest courriel Présentation de la personne candidate Citoyen(ne) engagé(e), je souhaite mettre mon expérience et mon écoute au service des Montréalais. Mon objectif est de contribuer à une gouvernance transparente, une économie solide et une ville inclusive tournée vers l'avenir. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je souhaite mettre mon expérience en travail social et en enseignement au service des Montréalais. Face aux enjeux actuels, je m'engage à les représenter avec efficacité, proximité et détermination. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En appliquant les mesures proposées par Projet Montréal et en favorisant une réelle proximité avec les citoyens. Avec l'équipe de Luc Rabouin, je souhaite bâtir une ville compétitive et centrée sur la qualité de vie. Quelles sont les deux principales priorités de la personne candidate? Une économie locale prospère. Une ville qui soutient les Ainés et rassure les jeunes dans leurs écoles. La construction de nouvelles maisons et des routes accessibles. Une ville verte et résiliente. Des services de proximité renforcés Quel est le lieu préféré de la personne candidate à Montréal? Le Centre-Ville de Montréal, pour son énergie et ses saveurs locales. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Pilar HERNANDEZ ROMERO,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Pilar HERNANDEZ ROMERO Profil des personnes candidates Icons/ArrowRetour à la liste Pilar HERNANDEZ ROMERO Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement J.-Émery-Provost facebook courriel Présentation de la personne candidate Directrice et cofondatrice de PAAL Partageons le monde, je travaille depuis plus de 15 ans à bâtir des ponts entre cultures, citoyens et artistes. Engagée pour l'inclusion, la justice sociale et écologique, je souhaite mettre mon expérience au service de Lachine et de Montréal. Récipiendaire des Prix du Gouverneur général et Opération Montréal. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Parce que crois en une ville où chaque voix compte. Mon expérience m'a appris que la diversité est une force : je veux représenter les citoyen-nes de Lachine et contribuer à bâtir un Montréal plus solidaire, inclusif et écologique. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En soutenant le logement social et abordable, en valorisant la culture et les commerces de proximité, et en protégeant nos espaces verts. Je veux que Montréal demeure une ville accueillante, durable et à échelle humaine. Quelles sont les deux principales priorités de la personne candidate? Améliorer la rue Provost pour la sécuriser. Renforcer les espaces verts, la mobilité et la culture. Quel est le lieu préféré de la personne candidate à Montréal? Les berges du canal de Lachine. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Claudia HERNANDEZ VIERA-MONTES DE OCA,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Claudia HERNANDEZ VIERA-MONTES DE OCA Profil des personnes candidates Icons/ArrowRetour à la liste Claudia HERNANDEZ VIERA-MONTES DE OCA Action Montréal - Équipe Gilbert Thibodeau Conseillère ou conseiller d'arrondissement Est courriel Présentation de la personne candidate Je m'appelle Claudia Hernandez. Je suis citoyenne engagée. Mère de famille et employée du réseau de la santé à Montréal. Je souhaite mettre mon expérience et mon engagement au service de ma communauté pour travailler à bâtir un milieu de vie où les gens veulent rester, vivre et s'épanouir à Montréal. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Mon engagement repose sur l'écoute, la proximité et la volonté d'agir concrètement pour améliorer la qualité de vie des familles, des jeunes et des aînés. Montréal doit rester une ville où chacun trouve sa place et où il fait bon vivre ensemble. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Mon objectif n'est pas seulement de construire une Ville, mais de travailler avec les citoyens pour créer un environnement inclusif et agréable. Quelles sont les deux principales priorités de la personne candidate? Améliorer la qualité de vie, un quartier plus sécuritaire, propre et accessible. Rétablir la confiance entre les citoyens et l'Administration municipale. Quel est le lieu préféré de la personne candidate à Montréal? Le mont Royal parce qu'il offre un espace de nature de détente et de loisirs en plein coeur de la Ville. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Catherine HOUBART,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Catherine HOUBART Profil des personnes candidates Icons/ArrowRetour à la liste Catherine HOUBART Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Saint-Henri-Est — Petite-Bourgogne — Pointe-Saint-Charles — Griffintown linkedIn facebook courriel Présentation de la personne candidate Détentrice d’un bacc. en écologie et d’une maîtrise en urbanisme, j'œuvre depuis plus de dix ans dans le milieu environnemental. Étant directrice d’un organisme de bienfaisance, je fais preuve de bonnes compétences en gestion et d’un leadership positif et rassembleur. Je suis une grande amoureuse de Montréal qui habite le Sud-Ouest depuis 8 ans. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? J’aime Montréal et mes concitoyen.ne.s, j’ai plein d’idées pour notre ville et j’adore les développer en équipe. J’ai le savoir-être pour remplir ce rôle ainsi que des expertises contributives. J’ai hâte de m’engager davantage dans ma communauté! Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Je veux contribuer à transformer notre ville pour qu’elle soit plus agréable, sécuritaire, verte et inclusive; qu’elle soit adaptée aux défis climatiques, qu’on s’y loge de façon abordable; que les familles et les aînés, notamment, s’y sentent bien. Quelles sont les deux principales priorités de la personne candidate? Sécurité aux abords des écoles; adaptation aux changements climatiques; Logement abordable Quel est le lieu préféré de la personne candidate à Montréal? Les parcs du quartier où je rencontre mes voisins. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Anaïs HOUDE,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Anaïs HOUDE Profil des personnes candidates Icons/ArrowRetour à la liste Anaïs HOUDE Transition Montréal - Équipe Craig Sauvé Mairesse ou maire de l'arrondissement Mercier-Hochelaga-Maisonneuve facebook courriel Présentation de la personne candidate Citoyenne impliquée, militante pour la protection de l'environnement, ayant à coeur les luttes sociales et l'urbanisme. Je me présente pour porter la voix de mes concitoyen-ne-s et défendre la qualité de vie de l'arrondissement. J'ai choisi Transition Montréal, un parti progressif. Avec courage pour MHM! Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Nous avons besoin d'élu-e-s avec du courage politique et de l'empathie pour les habitant-e-s de notre ville. Je souhaite travailler en collaboration et en soutien, pour le bénéfice de chaque Montréalais-es. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Utiliser l'écofiscalité afin de financer les projets d'urbanisme et de résilience. Protéger les droits des locataires et l'abordabilité. Quelles sont les deux principales priorités de la personne candidate? La création de logement locatif hors marché et la protection des locataires La protection de l'environnement et l'équité Quel est le lieu préféré de la personne candidate à Montréal? Le terrain vague d'Hochelaga Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Carol-Ann HOYTE,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Carol-Ann HOYTE Profil des personnes candidates Icons/ArrowRetour à la liste Carol-Ann HOYTE Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Côte-des-Neiges x instagram courriel Présentation de la personne candidate Je suis mère célibataire d'un enfant et poète. Je travaille dans le secteur du littérature jeunesse depuis 24 ans. Je suis bénévole au conseil d'administration du Geordie Theatre depuis 2015. Née à Côte-des-Neiges et y résidente actuellement. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Les montréalais méritent la meilleure qualité de vie possible. C'est au sein du gouvernement municipal que je peux avoir le plus d'impact sur la qualité de vie quotidienne des Montréalais. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En défendant un salaire de subsistance pour les travailleurs du secteur des services. Créer un accès subventionné aux activités artistiques et culturelles pour les familles à faible revenu. Améliorer les conditions dans les écoles publics. Quelles sont les deux principales priorités de la personne candidate? Des logements abordables, sécuritaires et propres Des aliments abordables frais et sains Quel est le lieu préféré de la personne candidate à Montréal? Place-des-Arts Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Fang HU,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Fang HU Profil des personnes candidates Icons/ArrowRetour à la liste Fang HU Indépendant(e) Mairesse ou maire de la ville facebook site courriel Présentation de la personne candidate Université Bacc, laChine;Bourse d'études 2ème Cycle,USA;Université Concordia;CégepduVieux-Montréal;Cégep André-Laurendeau,LaSalle;ingénieur-structures,construction,gestion-risks,santé,sécurité,efficacité;expert on risk-management & civil engineering reconnu par Cour Supérieure duQuébec; Gouvernance-Syndicatcopropriété;S.AdministrationComitéParents Pourquoi la personne candidate souhaite représenter les Montréalais(es)? BecauseOrientalSolutionsToOccidentalProblemswereExclus; JeContribueSagesse&Capacité Leadership aux Citoyens pour redéfinir par la cohérence deMission1680 de René-Robert Cavelier de LaSalle pour communique en unité avec civilisationMondiale Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? RéOrienter l'ordre municipal pour la vie en Santé Naturelle&Sécurité fondée sur la justice en impartialité selon des Expertises Indépendantes en Psycology&Ecology; renommer Montréal(colonisation) par LaSalleLachine(Communication&Civilisation Mondiale Quelles sont les deux principales priorités de la personne candidate? Justice Impartiale=Formation Solide aux Police,Procureurs,JugesMunicipaux Accès aux ToiletsPublicsSTM Quel est le lieu préféré de la personne candidate à Montréal? RéseauxTransportsPublics Lasalle Lachine Chinatown Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Doug HURLEY,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Doug HURLEY Profil des personnes candidates Icons/ArrowRetour à la liste Doug HURLEY Ensemble Montréal - Équipe Soraya Mairesse ou maire de l'arrondissement L'Île-Bizard - Sainte-Geneviève instagram courriel Présentation de la personne candidate Résident de L’Île-Bizard–Sainte-Geneviève, Doug Hurley compte plus de 30 ans au SPVM, dont plusieurs comme commandant. Professeur en techniques policières, entraîneur et président du Club Optimiste, il s’engage pour la sécurité, la préservation du patrimoine et un développement durable au service des citoyens. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Éviter la surtaxe en obtenant une compensation pour préserver les terres vertes et agricoles. Améliorer la propreté des parcs et des espaces publics. Quel est le lieu préféré de la personne candidate à Montréal? L'Île-Bizard—Sainte-Geneviève Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Metodi IGOROV,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Metodi IGOROV Profil des personnes candidates Icons/ArrowRetour à la liste Metodi IGOROV Indépendant(e) Conseillère ou conseiller de ville Bordeaux-Cartierville linkedIn facebook courriel Présentation de la personne candidate Retraité après 27 ans de travail au Ministère de la sécurité publique fédéral. Détenteur d'un baccalauréat en enseignement du I'UQAM. Pendant 20 ans membre de l'Équipe olympique du Canada. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Pour améliorer les conditions de vie des montréalais. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En aidant l'administration à prendre des meilleurs décisions. Quelles sont les deux principales priorités de la personne candidate? Sécurité des rues. Accessibilité aux logements abordables. Quel est le lieu préféré de la personne candidate à Montréal? Cartierville Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Jax JACOBSEN,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Jax JACOBSEN Profil des personnes candidates Icons/ArrowRetour à la liste Jax JACOBSEN Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement Claude-Ryan courriel Présentation de la personne candidate Je suis Jax Jacobsen, mère d’un enfant de 8 ans et citoyenne engagée. Mon parcours en sciences politiques et mon expérience aux États-Unis et en Angleterre m’ont appris l’importance des décisions locales. Je veux défendre un Outremont plus sûr, plus vert et mieux adapté aux familles et aux défis climatiques. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Parce que les voix des familles et des enfants ne sont pas entendues. Je veux défendre le transport actif, la sécurité dans nos rues et l’action climatique, afin que notre arrondissement devienne un milieu de vie sain et sécuritaire pour tous. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En priorisant le transport actif, des rues sécuritaires et une action climatique urgente. J’apporterai une voix forte pour les familles et une expertise politique solide pour transformer nos défis en solutions concrètes et durables. Quelles sont les deux principales priorités de la personne candidate? Transport actif, climat, sécurité routière, voix des familles. Quel est le lieu préféré de la personne candidate à Montréal? Lester's Deli Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
John Deave JACQUELIN,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link John Deave JACQUELIN Profil des personnes candidates Icons/ArrowRetour à la liste John Deave JACQUELIN Futur Montréal Conseillère ou conseiller de ville Saint-Michel linkedIn facebook instagram courriel Présentation de la personne candidate Je suis un artiste, entrepreneur et philanthrope montréalais. J'ai grandi ici, j'y crois et je veux contribuer à son avenir. Avec un diplôme en communication politique, je mise sur le vivre-ensemble, l'écoute et l'humain comme moteur de transformation. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Montréal mérite mieux. Je veux garantir la sécurité de tous et résoudre les problèmes concrets avec rigueur. Je veux qu'un jour, chaque citoyen dise: « Je suis fier de vivre ici. » Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Améliorer la vie des montréalais et montréalaises passe par l'écoute, notamment en considérant leurs propositions. De plus, nous devons mobiliser les entreprises d'ici et les institution communautaire à travailler main dans la main, comme une entités Quelles sont les deux principales priorités de la personne candidate? Le réseau routier de Montréal doit être réparé et modernisé, c'est ma priorité Je souhaite simplifier les démarches pour les artistes et promouvoir une culture musicale rassemblée. Quel est le lieu préféré de la personne candidate à Montréal? Le quartier des spectacles Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Paul JACQUES-MIGNAULT,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Paul JACQUES-MIGNAULT Profil des personnes candidates Icons/ArrowRetour à la liste Paul JACQUES-MIGNAULT Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Louis-Riel linkedIn facebook instagram site courriel Présentation de la personne candidate Je suis revenu m’établir à Montréal en 2022 après une quinzaine d’années passées à l’étranger, mû par un profond attachement à cette ville et une volonté de m’y engager activement. Scientifique de données spécialisé en mobilité et infrastructures urbaines, je détiens une maîtrise en statistiques. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Animé par le désir d’agir face aux changements climatiques et engagé dans la communauté LGBTQ+, notamment à travers le sport inclusif, je souhaite mettre mon expertise au service d'une ville plus inclusive, efficace, proactive et équitable. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Je souhaite contribuer avec rigueur, enthousiasme et pragmatisme à bâtir une ville capable de faire face aux défis climatiques, de défendre le droit au logement et de développer la mobilité durable. Quelles sont les deux principales priorités de la personne candidate? Le commerce de proximité, faciliter et sécuriser les déplacements, diversifier l’offre culturelle. Quel est le lieu préféré de la personne candidate à Montréal? Le Carré Notre-Dame-des-Victoires ! Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Livia JAMES,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Livia JAMES Profil des personnes candidates Icons/ArrowRetour à la liste Livia JAMES Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller de ville Côte-de-Liesse Présentation de la personne candidate Je suis une personne engagée qui souhaite améliorer la vie des Montréalais.es grâce a des solutions durables et inclusives Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Pour défendres leurs intérêts et m'assurer que chaque voix compte Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En favorisant la mobilité durable, l'access au logement abordable et des espaces vert pour tous Quelles sont les deux principales priorités de la personne candidate? Promouvoir le logement abordable Quel est le lieu préféré de la personne candidate à Montréal? CANAL LACHINE Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Kathlen JEAN,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Kathlen JEAN Profil des personnes candidates Icons/ArrowRetour à la liste Kathlen JEAN Futur Montréal Conseillère ou conseiller de ville Sainte-Marie courriel Présentation de la personne candidate J'ai passé une vie sur les bancs d'école! Je suis née d'une famille d'origine haïtienne, nous étions 4. J'ai connu les années 80' et 90', de bonnes époque au Québec, de bons souvenir que je veux partager avec qui veut l'entendre. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je suis née à Montréal, j'ai étudié en sciences politiques et en urbanisme. Je connais les enjeux et le territoire. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? En les écoutant. En guidant ce qui fonctionne présentement. Penser à l'avenir, garder en tête les grands orientations du parti politique. Quelles sont les deux principales priorités de la personne candidate? Développement économique, des affaires, du tourisme. Maintient des services existants et leur amélioration. Quel est le lieu préféré de la personne candidate à Montréal? N'importe ou on peut s'asseoir sur une terrasse, magasiner, assister à un spectacle et se divertir. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Sandra JEAN LEONARD,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Sandra JEAN LEONARD Profil des personnes candidates Icons/ArrowRetour à la liste Sandra JEAN LEONARD Futur Montréal Conseillère ou conseiller d'arrondissement Jacques-Bizard Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Ty JEEVARATNAM,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Ty JEEVARATNAM Profil des personnes candidates Icons/ArrowRetour à la liste Ty JEEVARATNAM Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller d'arrondissement Côte-de-Liesse facebook instagram courriel Présentation de la personne candidate J’ai grandi à Saint-Laurent, où vit encore ma famille. J’y ai ouvert une entreprise, profité de ses parcs publics et de ses activités municipales, et développé un fort esprit de communauté grâce au sport. Je veux mettre cette expérience au service de Saint-Laurent et contribuer à son dynamisme Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je veux représenter les Montréalais-es en tant que résidente, anciennement entrepreneure, et participante active à la vie de quartier. Je veux contribuer à bâtir une ville qui protège nos parcs, nos logements abordables et notre diversité culturelle. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Améliorer la qualité de vie à Montréal, c’est bien faire les essentiels, soutenir des communautés diverses et dynamiques, et bâtir un renouveau graduel, protecteur et digne, alliant stabilité et nouvelles opportunités. Quelles sont les deux principales priorités de la personne candidate? Sécurité des enfants Logements abordables Contrer la dépendances aux drogues et à l'alcool Quel est le lieu préféré de la personne candidate à Montréal? Les magnifiques parcs publics Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Kamala JEGATHEESWARAN,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Kamala JEGATHEESWARAN Profil des personnes candidates Icons/ArrowRetour à la liste Kamala JEGATHEESWARAN Indépendant(e) Conseillère ou conseiller de ville Côte-des-Neiges facebook instagram courriel Présentation de la personne candidate Déterminée et résiliente face aux obstacles, je suis ici pour donner la parole aux personnes qui n'ont pas la chance de s'exprimer. Travailler avec le monde pour améliorer notre monde. Toute ma vie j'adore la nature et les personnes, donc j'aime aider les gens ainsi que l'environnement. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? L'histoire de ma vie, c'est une histoire Montréalaise. Montréal et Côte-des-Neiges , c'est mon domicile depuis les dernières 40 années. Je souhaite aider et représenter les Montréalais, parce que, c'est des personnes comme moi. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Créer des solutions pour améliorer le problème de logement. On a besoin de logements de qualité à des prix abordables. Plus d'activités éducatives, communautaires et économiques, pour les jeunes ainsi que les aînées. Quelles sont les deux principales priorités de la personne candidate? Améliorer la qualité de vie grâce au logement abordable. Gestion de circulation avec solutions long terme, pour transport public, stationnements, embouteillages, espaces verts et le maintien de la ville. Quel est le lieu préféré de la personne candidate à Montréal? L'oratoire Saint-Joseph. Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Patricia JIMÉNEZ,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Patricia JIMÉNEZ Profil des personnes candidates Icons/ArrowRetour à la liste Patricia JIMÉNEZ Action Montréal - Équipe Gilbert Thibodeau Conseillère ou conseiller de ville Sault-Saint-Louis linkedIn instagram courriel Présentation de la personne candidate Résidente de Lasalle depuis 16 ans et professionnel en réglementation pharmaceutique, je souhaite mettre mon expérience au service de notre arrondissement. Mon objectif: améliorer la qualité de vie, être à l'écoute, soutenir les familles et construire un avenir durable et solidaire pour Lasalle. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je souhaite prendre des mesures pour améliorer les transports, réduire le trafic aux heures de pointe, créer des logements abordables, Lasalle propre et sûr et renforcer l'économie locale. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Faisons de Lasalle un quartier sécuritaire et dynamique: transports efficaces, rues bien éclairées, commerces de proximité dynamiques er sécurité routière. Quelles sont les deux principales priorités de la personne candidate? Améliorer la qualité de vie des citoyens de Lasalle grâce à une gestion claire et efficace Développer une meilleure mobilité et accroître la sécurité des quartiers Quel est le lieu préféré de la personne candidate à Montréal? Lasalle est mon quartier préféré à Montréal car il a beaucoup de potentiel à développer Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
